AreaName,Median_Age
Alabama,38.4
Alaska,33.4
Georgia,35.9
Hawaii,38.0
Idaho,35.5
Illinois,37.3
Indiana,37.3
Iowa,38.1
Kansas,36.0
Kentucky,38.5
Louisiana,36.1
Maine,43.8
Arizona,36.8
Maryland,38.2
Massachusetts,39.3
Michigan,39.5
Minnesota,37.7
Mississippi,36.5
Missouri,38.2
Montana,39.7
Nebraska,36.2
Nevada,37.2
New Hampshire,42.2
Arkansas,37.7
New Jersey,39.4
New Mexico,37.0
New York,38.1
North Carolina,38.0
North Dakota,35.4
Ohio,39.2
Oklahoma,36.2
Oregon,39.1
Pennsylvania,40.5
Puerto Rico,38.7
California,35.8
Rhode Island,39.7
South Carolina,38.6
South Dakota,36.8
Tennessee,38.4
Texas,34.1
Utah,30.1
Vermont,42.4
Virginia,37.6
Washington,37.4
West Virginia,41.8
Colorado,36.3
Wisconsin,39.0
Wyoming,36.8
Connecticut,40.4
District of Columbia,33.7
Delaware,39.3
Florida,41.4
